2025-03-21 11:33:38.126956 ; Session        ; Debug       ; Session log loaded as 'C:\Users\seowf\OneDrive - UOW Malaysia KDU\Desktop\Assignment\Coding\FYP\IP-2-AI-Chatbox-Test-Plan-Generator-and-Optimization-for-Keysight-PTEM-main\bin\Release\SessionLogs\MSBuild.18356 2025-03-21 11-33-36.txt'. [3.67 ms]
2025-03-21 11:33:38.145322 ; Session        ; Debug       ; Running '"C:\Program Files\Microsoft Visual Studio\2022\Community\MSBuild\Current\Bin\amd64\MSBuild.exe" /nologo /nodemode:1 /nodeReuse:true /low:false' in 'C:\Users\seowf\OneDrive - UOW Malaysia KDU\Desktop\Assignment\Coding\FYP\IP-2-AI-Chatbox-Test-Plan-Generator-and-Optimization-for-Keysight-PTEM-main'.
2025-03-21 11:33:38.222091 ; AssemblyFinder ; Debug       ; Found 5/26 assembly files. [9.96 ms]
2025-03-21 11:33:38.316540 ; Searcher       ; Debug       ; Ordered 5 assemblies according to references. [89.7 ms]
2025-03-21 11:33:38.362511 ; PluginManager  ; Debug       ; Found 3 plugin assemblies containing 175 plugin types. [136 ms]
2025-03-21 11:33:38.364510 ; PluginManager  ; Debug       ; Found version 9.27.1+49587562  of OpenTap.dll from C:\Users\seowf\.nuget\packages\opentap\9.27.1\build\payload\OpenTap.dll
2025-03-21 11:33:38.364510 ; PluginManager  ; Debug       ; Found version 9.27.1+49587562  of OpenTap.Package.dll from C:\Users\seowf\.nuget\packages\opentap\9.27.1\build\payload\OpenTap.Package.dll
2025-03-21 11:33:38.364510 ; PluginManager  ; Debug       ; Found version 9.27.1+49587562  of OpenTap.Plugins.BasicSteps.dll from C:\Users\seowf\.nuget\packages\opentap\9.27.1\build\payload\Packages\OpenTAP\OpenTap.Plugins.BasicSteps.dll
2025-03-21 11:33:38.364510 ; PluginManager  ; Debug       ; Searched 5 Assemblies. [139 ms]
2025-03-21 11:33:38.378886 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [396 us]
2025-03-21 11:33:38.378886 ; AssemblyData   ; Debug       ; Loaded OpenTap. [535 us]
2025-03-21 11:33:38.383891 ; AssemblyData   ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [5.50 ms]
2025-03-21 11:33:38.396126 ; SystemInfo     ; Debug       ; Microsoft Windows 10.0.22631 X64
2025-03-21 11:33:38.396126 ; SystemInfo     ; Debug       ; .NET Framework 4.8.9290.0
2025-03-21 11:33:38.397126 ; SystemInfo     ; Debug       ; OpenTAP Engine 9.27.1+49587562 X64
2025-03-21 11:33:38.449409 ; AssemblyData   ; Debug       ; Loaded mscorlib. [400 ns]
2025-03-21 11:33:38.574600 ; Installation   ; Debug       ; OpenTAP                  - 9.27.1+49587562
2025-03-21 11:33:38.574600 ; Installation   ; Debug       ; PathWave License Manager - 7.4.1+efeba870
2025-03-21 11:33:38.639013 ; Resolver       ; Debug       ; Found match for OpenTap.Repository.Client, Version=4.17.0.0, Culture=neutral, PublicKeyToken=null in C:\Users\seowf\.nuget\packages\opentap\9.27.1\build\payload\Dependencies\OpenTap.Repository.Client.4.17.0.0\OpenTap.Repository.Client.dll
2025-03-21 11:33:38.676788 ; Settings       ; Debug       ; No settings file exists for AuthenticationSettings. A new instance with default values has been created. [320 us]
2025-03-21 11:33:38.687090 ; Settings       ; Debug       ; No settings file exists for PackageManagerSettings. A new instance with default values has been created. [1.29 ms]
2025-03-21 11:33:38.714675 ; package        ; Error       ; Could not unpack 'C:\Users\seowf\AppData\Local\OpenTap\PackageCache\Editor X.1.6.1+63cdd815.TapPackage'.
2025-03-21 11:33:38.905057 ; FilePackageRepository ; Debug       ; Rebuilding cache: .PackageCache.64487D21.17.xml [201 ms]
2025-03-21 11:33:38.914284 ; Package Query  ; Debug       ; Read 16 packages from [FilePackageRepository: file:///C:/Users/seowf/AppData/Local/OpenTap/PackageCache] [218 ms]
2025-03-21 11:33:40.505594 ; HttpPackageRepository ; Debug       ; {"type":"TapPackage","directory":"/Packages/","version":"","architecture":"x64","os":"Windows"} -> found 1597 packages. [1.58 s]
2025-03-21 11:33:41.570752 ; HttpPackageRepository ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"OpenTAP","version":"rc","architecture":"x64","os":"Windows"} -> found 193 packages. [1.01 s]
2025-03-21 11:33:42.593902 ; HttpPackageRepository ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"Keysight Licensing","version":"rc","architecture":"x64","os":"Windows"} -> found 18 packages. [1.02 s]
2025-03-21 11:33:43.551906 ; HttpPackageRepository ; Debug       ; {"type":"TapPackage","directory":"/Packages/","name":"Keysight Licensing","version":"beta","architecture":"x64","os":"Windows"} -> found 10 packages. [957 ms]
2025-03-21 11:33:43.574906 ; image          ; Debug       ; Resolved image: WPF Controls:, OpenTAP:9.27.1+49587562, PathWave License Manager:^7.4.1+efeba870 [3.05 s]
2025-03-21 11:33:45.206905 ; OpenTAP        ; Information ; Modifying installation in bin\Release\:
2025-03-21 11:33:45.206905 ; OpenTAP        ; Information ; - Skipping OpenTAP version 9.27.1+49587562 (x64-Windows) - Already installed.
2025-03-21 11:33:45.206905 ; OpenTAP        ; Information ; - Skipping PathWave License Manager version 7.4.1+efeba870 (x64-Windows) - Already installed.
2025-03-21 11:33:45.206905 ; OpenTAP        ; Information ; - Installing Keysight Licensing version 1.5.1+16a9625a
2025-03-21 11:33:45.206905 ; OpenTAP        ; Information ; - Installing WPF Controls version 9.27.1+ca9893c4
2025-03-21 11:33:45.228903 ; Installer      ; Information ; Installing C:\Users\seowf\AppData\Local\OpenTap\PackageCache\Keysight Licensing.1.5.1+16a9625a.x64.TapPackage
2025-03-21 11:33:45.258904 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/Keysight.Ccl.Licensing.Api.5.2.0.5231/.OpenTapIgnore [12.1 ms]
2025-03-21 11:33:45.266910 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/Keysight.Ccl.Licensing.Api.5.3.2.19/.OpenTapIgnore [7.70 ms]
2025-03-21 11:33:45.271905 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/Keysight.Ccl.Licensing.Api.5.5.1.81/.OpenTapIgnore [4.84 ms]
2025-03-21 11:33:45.274903 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/Keysight.Kal.Licensing.Api.4.0.0/.OpenTapIgnore [3.08 ms]
2025-03-21 11:33:45.280903 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/Keysight.Kal.Licensing.Api.4.5.0/Keysight.Kal.Licensing.Api.dll [5.69 ms]
2025-03-21 11:33:45.283903 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/Keysight.Kal.Licensing.Api.4.5.0/Keysight.Kal.Licensing.Api.dll.sig [2.85 ms]
2025-03-21 11:33:45.343904 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/Keysight.Kal.Licensing.Api.4.5.0/KalApi.dll [59.8 ms]
2025-03-21 11:33:45.399911 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/Keysight.Kal.Licensing.Api.4.5.0/KalApi.dll.sig [55.7 ms]
2025-03-21 11:33:45.407903 ; package        ; Debug       ; Decompressed bin/Release/Packages/Keysight Licensing/Keysight.OpenTap.Licensing.dll [8.08 ms]
2025-03-21 11:33:45.415905 ; package        ; Debug       ; Decompressed bin/Release/Packages/Keysight Licensing/Keysight.OpenTap.Licensing.dll.sig [8.44 ms]
2025-03-21 11:33:45.429904 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/System.IdentityModel.Tokens.Jwt.6.16.0.0/System.IdentityModel.Tokens.Jwt.dll [13.7 ms]
2025-03-21 11:33:45.452910 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/Microsoft.IdentityModel.Tokens.6.20.0.0/Microsoft.IdentityModel.Tokens.dll [22.7 ms]
2025-03-21 11:33:45.473904 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/Microsoft.IdentityModel.Logging.6.20.0.0/Microsoft.IdentityModel.Logging.dll [20.9 ms]
2025-03-21 11:33:45.480903 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/Microsoft.IdentityModel.JsonWebTokens.6.16.0.0/Microsoft.IdentityModel.JsonWebTokens.dll [6.91 ms]
2025-03-21 11:33:45.485902 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/System.Security.Cryptography.Cng.4.3.0.0/System.Security.Cryptography.Cng.dll [4.68 ms]
2025-03-21 11:33:45.489907 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/Microsoft.IdentityModel.Abstractions.6.20.0.0/Microsoft.IdentityModel.Abstractions.dll [4.28 ms]
2025-03-21 11:33:45.491904 ; package        ; Debug       ; Decompressed bin/Release/Packages/Keysight Licensing/package.xml [2.16 ms]
2025-03-21 11:33:45.516908 ; Package        ; Debug       ; Found no custom actions to run at 'install' stage.
2025-03-21 11:33:45.517904 ; Installer      ; Information ; Installed Keysight Licensing version 1.5.1+16a9625a [289 ms]
2025-03-21 11:33:45.517904 ; Installer      ; Information ; Installing C:\Users\seowf\AppData\Local\OpenTap\PackageCache\WPF Controls.9.27.1+ca9893c4.TapPackage
2025-03-21 11:33:45.587903 ; package        ; Debug       ; Decompressed bin/Release/Packages/WPF Controls/Keysight.OpenTap.Wpf.dll [56.5 ms]
2025-03-21 11:33:45.689905 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/Keysight.Ccl.Wsl.6.6.0.0/Keysight.Ccl.Wsl.dll [101 ms]
2025-03-21 11:33:45.717903 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/MahApps.Metro.1.3.0.0/MahApps.Metro.dll [27.6 ms]
2025-03-21 11:33:45.726905 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/Microsoft.Xaml.Behaviors.1.1.0.0/Microsoft.Xaml.Behaviors.dll [8.80 ms]
